8521,4,400,9/27/17,8:10:00,10:00:00,5th gr. parent meeting - B. Lamb
9023,7,400,9/27/17,9:05:00,12:10:00,US Class
9378,7,400,9/27/17,16:00:00,17:15:00,yoga
9434,7,400,9/27/17,12:10:00,12:40:00,8th gr. meeting - blamb
9456,3,400,9/27/17,11:00:00,13:10:00,Lori H. - stuffing
1600,6,400,9/28/17,11:00:00,11:40:00,LS Assembly
8456,7,400,9/28/17,10:20:00,12:10:00,US-B.Lamb
8475,3,400,9/28/17,10:20:00,12:10:00,US-B.Lamb
8505,7,400,9/28/17,15:30:00,16:45:00,ASE - Chess
8581,3,470,9/28/17,9:00:00,10:00:00,Admin Mtg.
9046,7,400,9/28/17,10:20:00,12:10:00,US Class
9244,3,400,9/28/17,10:20:00,12:10:00,US Class
9435,4,400,9/28/17,11:00:00,11:40:00,LS Assembly - Naik
9457,3,400,9/28/17,12:40:00,13:10:00,8th gr. boys - CBA visit
8457,7,400,9/29/17,8:50:00,11:00:00,US-B.Lamb
8499,4,400,9/29/17,12:30:00,14:00:00,Jayne's Full Faculty Meeting - ERB overview & training
8522,5,400,9/29/17,8:15:00,10:00:00,PC Meeting w/ John Devlin
9069,7,400,9/29/17,8:50:00,11:00:00,US Class
9267,3,400,9/29/17,8:50:00,11:00:00,US Class
8458,7,400,10/2/17,9:05:00,12:10:00,US-B.Lamb
8506,7,400,10/2/17,15:30:00,16:45:00,ASE - Chess
9092,7,400,10/2/17,9:05:00,12:10:00,US Class
9290,3,400,10/2/17,11:15:00,12:10:00,US Class
8459,7,400,10/3/17,9:05:00,11:15:00,US-B.Lamb
9115,7,400,10/3/17,9:05:00,11:15:00,US Class
9313,3,400,10/3/17,9:05:00,11:15:00,US Class
8460,7,400,10/4/17,9:05:00,12:10:00,US-B.Lamb
8461,7,400,10/4/17,13:10:00,14:00:00,US-B.Lamb
9137,7,400,10/4/17,9:05:00,10:00:00,US Class
9159,7,400,10/4/17,11:15:00,12:10:00,US Class
9181,7,400,10/4/17,13:10:00,14:00:00,US Class
9335,3,400,10/4/17,13:10:00,14:00:00,US Class
9379,7,400,10/4/17,16:00:00,17:15:00,yoga
8507,7,400,10/5/17,15:35:00,16:45:00,ASE - Chess
9002,4,400,10/5/17,11:15:00,12:10:00,US Assembly
9429,3,436,10/5/17,14:00:00,16:30:00,Rite Aid Flu Shot Clinic
9436,7,400,10/5/17,14:50:00,15:30:00,Student Council
8462,7,400,10/6/17,8:50:00,11:00:00,US-B.Lamb
8574,7,400,10/6/17,12:30:00,14:00:00,5/6 Advisors meeting - writing reports
9024,7,400,10/6/17,8:50:00,11:00:00,US Class
9222,3,400,10/6/17,10:20:00,11:00:00,US Class
9405,5,400,10/6/17,8:15:00,10:00:00,PC EPC Meeting
9507,3,470,10/6/17,9:00:00,10:20:00,Natalie Diehl
8508,7,400,10/9/17,15:35:00,16:45:00,ASE-Chess
9476,4,0,10/9/17,9:00:00,10:00:00,3D play practice
8582,3,470,10/10/17,9:00:00,10:00:00,Admin. Meeting
8585,4,490,10/10/17,12:10:00,13:10:00,1C Play Practice
9047,7,400,10/10/17,10:20:00,12:10:00,US Class
9245,3,400,10/10/17,10:20:00,12:10:00,US Class
9480,4,384,10/10/17,8:10:00,9:05:00,4A
